OBJECTID,CSA2010,age64_10,age64_15,age64_16,age64_17,age64_18,age64_19,CSA2020,age64_21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,51.9146574582229,51.0012437810945,51.2874886398061,53.28829367,53.2559834770987,54.57968979,Allendale/Irvington/S. Hilton,55.68789809,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,56.1888454011742,56.3810665068904,55.0810849090008,55.36554402,55.1784758847359,56.49264763,Beechfield/Ten Hills/West Hills,53.12098403,47882527.7110596,37524.9505334171
3,Belair-Edison,54.0192926045016,54.6523076923077,53.9136141271925,54.45339471,53.7805761408591,54.26650577,Belair-Edison,53.16801067,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,53.478901916731,56.413236701764,57.3576178086152,57.4496124,59.2720275795718,57.3957115,Brooklyn/Curtis Bay/Hawkins Point,56.9208587,176077742.748718,150987.703638771
5,Canton,71.4814814814815,73.9583333333333,74.4683451478856,75.24621667,76.9669185974476,76.71232877,Canton,74.86359599,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,55.2956658318122,59.0143875785832,58.6449303489024,59.31131114,58.5602869416524,56.63936764,Cedonia/Frankford,57.52783605,71541340.3063965,39962.5498347166
7,Cherry Hill,43.7820043891734,43.9175740545604,45.4590447908933,45.57511155,44.7871467104491,43.92828036,Cherry Hill,40.6622201,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,56.1629706034038,54.5727676961904,56.0317272404404,58.74556213,59.7909986937418,59.89036622,Chinquapin Park/Belvedere,59.78947368,21022590.1307373,21705.411630344
9,Claremont/Armistead,53.2499088810594,54.5247239558329,52.7871431782423,51.2608649,53.4430353212451,51.11808552,Orchard Ridge/Armistead,54.17339175,61243774.4211426,40104.415980189
10,Clifton-Berea,48.5314968604416,53.0963984309996,50.4842201207702,52.13947861,51.5750828990999,51.04681251,Clifton-Berea,53.94631943,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,43.5476446217585,45.4837328767123,43.5980312936164,44.84065594,45.307491613865,44.76387555,Cross-Country/Cheswolde,43.73732061,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,53.0846135089003,53.7258021744895,57.058658433904,54.43580809,59.1322421408157,57.28527607,Dickeyville/Franklintown,55.95554482,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,51.8581367724419,51.9261841993367,50.3261960521914,51.35250813,50.782274276724,52.31322544,Dorchester/Ashburton,56.5425699,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,67.6233322991002,69.8291899205141,71.7008099094807,71.26894229,69.0589422106931,68.85568227,Downtown/Seton Hill,71.22120921,20736554.4064941,21565.859394559
15,Edmondson Village,48.3417721518987,51.6806722689076,51.2249720184057,51.67892157,51.1642463695543,51.2791853,Edmondson Village,47.3932441,23563061.0443115,21504.551357829
16,Fells Point,71.2468193384224,77.5435284245857,77.1989100817439,77.95745605,76.7046058929901,74.59555952,Fells Point,74.22145329,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,52.7464717230176,54.4605581190947,53.865182436611,54.64749902,55.2743764172335,54.23409861,Forest Park/Walbrook,54.39134355,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,50.8113182244871,50.2428026361429,50.0358980495393,50.35189142,49.7634517126096,48.61957226,Glen-Fallstaff,50.1382764,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,50.6253431761332,52.0657163566079,51.0990009082652,52.1853414,52.6890656535676,54.21878832,Greater Charles Village/Barclay,52.31564301,27051213.4559937,26454.2692113332
20,Greater Govans,52.7759573073682,52.1092733692622,53.9285031542726,52.24242424,52.4126455906821,52.58006272,Greater Govans,49.82709218,22698495.7178955,22982.125714974
21,Greater Mondawmin,47.9510834584853,47.4903059026282,49.1119285338939,48.74023545,52.4246395806028,51.28885939,Greater Mondawmin,51.8988803,33663448.2791138,31136.7318903515
