OBJECTID,CSA2010,pwhite10,pwhite15,pwhite16,pwhite17,pwhite18,pwhite19,pwhite20,CSA2020,pwhite21,pwhite22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,8.32459764444718,8.95522388059701,8.65192365949712,6.534736339,7.13765034625197,6.280717432,6.858645805,Allendale/Irvington/S. Hilton,5.312101911,6.034427181,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,16.7808219178082,15.4433792690234,15.6575313363076,18.85594802,16.9991592142475,16.8987785,15.7328478,Beechfield/Ten Hills/West Hills,15.72425188,14.27939093,47882527.7110596,37524.9505334171
3,Belair-Edison,9.93339457969683,8.84923076923077,9.89142107147119,10.0287687,10.0128155123418,10.83146584,7.835598276,Belair-Edison,9.707148487,10.40755094,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,47.8059397598821,45.2140024613702,40.6909511419485,39.68217054,43.7505010823378,41.89473684,31.73084057,Brooklyn/Curtis Bay/Hawkins Point,34.96475489,36.55620637,176077742.748718,150987.703638771
5,Canton,86.0123456790123,86.8473895582329,86.494744561232,85.57530627,84.3018213356461,82.97975512,79.90047336,Canton,79.78682908,78.14144526,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,15.0570955554612,14.3074131893169,13.4126881442187,11.71450408,11.0439170872085,9.87654321,9.712758851,Cedonia/Frankford,11.80813297,13.4316201,71541340.3063965,39962.5498347166
7,Cherry Hill,1.58497927334796,2.61093548764782,3.11804008908686,4.362915221,5.07798756889879,4.808475958,2.508004269,Cherry Hill,2.85850405,1.53973706,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,23.1820526044353,22.0886912630693,20.7766070794365,20.79289941,19.5582472390452,22.183345,22.35766727,Chinquapin Park/Belvedere,16.31578947,15.90416566,21022590.1307373,21705.411630344
9,Claremont/Armistead,32.1589114323898,29.0566490638502,27.871431782423,24.14422148,23.8130175034063,19.0074539,18.81067961,Orchard Ridge/Armistead,16.29006226,16.13916405,61243774.4211426,40104.415980189
10,Clifton-Berea,1.05327121733846,1.85427314869844,1.91409365386806,2.36497635,2.35670298436759,4.128440367,2.336016893,Clifton-Berea,4.903002923,4.050013591,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,72.1497621605033,71.1401255707763,73.356350547271,73.40655941,68.3712262392843,67.68161998,66.82812382,Cross-Country/Cheswolde,66.43624615,65.14486392,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,8.16873933187028,8.88358525590029,6.96042660679203,9.541677834,8.39179007534424,6.697341513,11.32897603,Dickeyville/Franklintown,9.929934767,9.937888199,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,1.34057356185305,3.25707968364657,1.30478420876547,1.070022256,0.952713923608076,2.296877554,2.327363279,Dorchester/Ashburton,2.937480364,3.195909236,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,39.1560657772262,46.6768138001015,43.6557090678101,43.9614266,40.193111399337,35.81072224,34.20829805,Downtown/Seton Hill,36.07245681,32.29108713,20736554.4064941,21565.859394559
15,Edmondson Village,0.759493670886076,0.992063492063492,0.845665961945032,1.348039216,0.250375563345017,0.2235469449,1.325250247,Edmondson Village,0.611854685,0.662251656,23563061.0443115,21504.551357829
